I,H,S,P
1 , 97 , 25575 , 3.8194444444444455
2 , 181 , 43703 , 6.526732377538829
3 , 158 , 53367 , 7.969982078853046
4 , 290 , 56703 , 8.468189964157709
5 , 259 , 43392 , 6.480286738351254
6 , 67 , 56529 , 8.442204301075272
7 , 216 , 32911 , 4.915023894862603
8 , 306 , 48195 , 7.197580645161291
9 , 166 , 30035 , 4.485513739545999
10 , 358 , 51271 , 7.656959378733574
11 , 218 , 39342 , 5.875448028673835
12 , 419 , 35112 , 5.243727598566308
13 , 372 , 54425 , 8.127986857825569
14 , 614 , 27955 , 4.174880525686977
15 , 396 , 58461 , 8.730734767025092
16 , 684 , 56869 , 8.492980884109917
17 , 215 , 26346 , 3.9345878136200714
18 , 714 , 36769 , 5.491188769414577
19 , 398 , 53478 , 7.98655913978495
20 , 490 , 47877 , 7.150089605734769
21 , 571 , 32771 , 4.894115890083631
22 , 700 , 61037 , 9.115442054958182
23 , 612 , 48468 , 7.238351254480289
24 , 598 , 42344 , 6.3237753882915175
25 , 732 , 60051 , 8.968189964157707
26 , 551 , 30836 , 4.605137395459977
27 , 433 , 46396 , 6.9289127837514926
28 , 700 , 62404 , 9.319593787335721
29 , 297 , 30467 , 4.550029868578254
30 , 649 , 42376 , 6.328554360812426
31 , 351 , 27793 , 4.15068697729988
32 , 369 , 38084 , 5.68757467144564
33 , 697 , 64499 , 9.63246714456392
34 , 223 , 46861 , 6.998357228195938
35 , 697 , 42406 , 6.333034647550775
36 , 474 , 34511 , 5.153972520908005
37 , 529 , 46072 , 6.8805256869772995
38 , 524 , 41539 , 6.203554360812425
39 , 514 , 48646 , 7.264934289127839
40 , 826 , 45861 , 6.849014336917563
41 , 436 , 44176 , 6.597371565113502
42 , 635 , 53621 , 8.007915173237754
43 , 704 , 40430 , 6.037933094384707
44 , 640 , 41712 , 6.229390681003586
45 , 750 , 56076 , 8.374551971326163
46 , 810 , 40989 , 6.1214157706093175
47 , 710 , 45631 , 6.814665471923536
48 , 776 , 56680 , 8.464755077658301
49 , 573 , 36903 , 5.511200716845878
50 , 748 , 37823 , 5.648596176821982
51 , 792 , 54673 , 8.165023894862603
52 , 376 , 40628 , 6.067502986857826
53 , 643 , 48446 , 7.235065710872164
54 , 576 , 47617 , 7.111260454002388
55 , 690 , 46070 , 6.8802270011947435
56 , 587 , 47468 , 7.089008363201912
57 , 859 , 53487 , 7.987903225806451
58 , 700 , 41154 , 6.146057347670252
59 , 714 , 45220 , 6.753285543608124
60 , 513 , 40404 , 6.0340501792114685
61 , 614 , 56235 , 8.398297491039425
62 , 604 , 36712 , 5.4826762246117084
63 , 672 , 54539 , 8.145011947431303
64 , 892 , 71409 , 10.664426523297491
65 , 276 , 24599 , 3.673685782556751
66 , 432 , 33006 , 4.92921146953405
67 , 591 , 57931 , 8.651583034647551
68 , 809 , 93072 , 13.899641577060931
69 , 803 , 64081 , 9.57004181600956
70 , 622 , 46729 , 6.978643966547193
71 , 881 , 44277 , 6.6124551971326175
72 , 528 , 53947 , 8.056600955794504
73 , 619 , 46837 , 6.994772998805257
74 , 573 , 50522 , 7.545101553166069
75 , 760 , 49279 , 7.359468339307047
76 , 872 , 58092 , 8.67562724014337
77 , 872 , 44207 , 6.6020011947431305
78 , 671 , 47338 , 7.069593787335722
79 , 605 , 44356 , 6.624253285543607
80 , 705 , 53196 , 7.944444444444445
81 , 598 , 37305 , 5.571236559139785
82 , 575 , 35799 , 5.346326164874553
83 , 508 , 45531 , 6.799731182795699
84 , 676 , 43287 , 6.464605734767027
85 , 644 , 45313 , 6.767174432497012
86 , 590 , 42350 , 6.324671445639188
87 , 779 , 55834 , 8.338410991636799
88 , 782 , 62343 , 9.31048387096774
89 , 445 , 34750 , 5.189665471923535
90 , 543 , 47749 , 7.130973715651136
91 , 558 , 58709 , 8.767771804062125
92 , 705 , 55104 , 8.229390681003585
93 , 846 , 65931 , 9.84632616487455
94 , 679 , 56503 , 8.438321385902029
95 , 798 , 61056 , 9.118279569892472
96 , 572 , 49784 , 7.434886499402627
97 , 860 , 65923 , 9.845131421744323
98 , 1080 , 61654 , 9.207586618876944
99 , 764 , 54097 , 8.07900238948626
100 , 714 , 43502 , 6.496714456391876
101 , 731 , 37879 , 5.656959378733573
102 , 611 , 64280 , 9.599761051373955
103 , 511 , 40844 , 6.099761051373953
104 , 470 , 40423 , 6.036887694145757
105 , 803 , 58659 , 8.760304659498212
106 , 646 , 46420 , 6.932497013142176
107 , 574 , 35486 , 5.2995818399044206
108 , 708 , 47878 , 7.150238948626048
109 , 882 , 55494 , 8.287634408602148
110 , 718 , 45840 , 6.845878136200716
111 , 746 , 51736 , 7.726403823178017
112 , 839 , 48362 , 7.222520908004777
113 , 844 , 54273 , 8.105286738351253
114 , 778 , 48653 , 7.265979689366785
115 , 930 , 53040 , 7.92114695340502
116 , 938 , 66566 , 9.941158900836319
117 , 370 , 62596 , 9.348267622461172
118 , 830 , 74550 , 11.133512544802871
119 , 914 , 62784 , 9.376344086021508
120 , 550 , 44648 , 6.667861409796894
121 , 669 , 39197 , 5.853793309438471
122 , 848 , 46851 , 6.996863799283154
123 , 840 , 71935 , 10.742980884109913
124 , 910 , 57827 , 8.636051373954597
125 , 858 , 38909 , 5.810782556750298
126 , 936 , 50938 , 7.607228195937871
127 , 936 , 83324 , 12.44384707287933
128 , 913 , 46513 , 6.9463859020310625
129 , 931 , 51621 , 7.709229390681003
130 , 911 , 57447 , 8.579301075268816
131 , 748 , 54145 , 8.086170848267624
132 , 926 , 48603 , 7.2585125448028665
133 , 968 , 79205 , 11.8287037037037
134 , 936 , 56504 , 8.438470728793307
135 , 890 , 47478 , 7.090501792114694
136 , 698 , 46466 , 6.939366786140979
137 , 858 , 54434 , 8.129330943847073
138 , 934 , 50478 , 7.538530465949823
139 , 800 , 43697 , 6.52583632019116
140 , 1080 , 49580 , 7.40442054958184
141 , 1010 , 59359 , 8.86484468339307
142 , 786 , 44573 , 6.656660692951016
143 , 1080 , 83983 , 12.542264038231778
144 , 1080 , 77206 , 11.530167264038232
145 , 936 , 24635 , 3.679062126642771
146 , 794 , 39877 , 5.955346475507766
147 , 907 , 36804 , 5.496415770609318
148 , 896 , 36341 , 5.427270011947431
149 , 739 , 29980 , 4.4772998805256865
150 , 928 , 68128 , 10.174432497013143
151 , 933 , 38966 , 5.819295101553166
152 , 1080 , 59780 , 8.927718040621263
153 , 868 , 24925 , 3.7223715651135008
154 , 1080 , 39506 , 5.899940262843487
155 , 1030 , 36718 , 5.483572281959379
156 , 960 , 30906 , 4.615591397849461
157 , 1080 , 32140 , 4.7998805256869765
158 , 1080 , 42315 , 6.3194444444444455
159 , 1080 , 32118 , 4.796594982078853
160 , 1080 , 21998 , 3.285244922341696
161 , 1080 , 44529 , 6.650089605734767
162 , 978 , 32529 , 4.857974910394266
163 , 1070 , 31901 , 4.764187574671444
164 , 1066 , 50877 , 7.598118279569893
165 , 1080 , 45019 , 6.72326762246117
166 , 1003 , 34179 , 5.104390681003584
167 , 868 , 52091 , 7.77942054958184
168 , 1080 , 9873 , 1.4744623655913978
169 , 1080 , 40871 , 6.103793309438471
170 , 1042 , 14474 , 2.1615890083632023
171 , 990 , 36588 , 5.464157706093191
172 , 937 , 11759 , 1.7561230585424137
173 , 1080 , 23544 , 3.516129032258064
174 , 1049 , 13976 , 2.087216248506571
175 , 1080 , 10641 , 1.5891577060931903
176 , 948 , 14307 , 2.136648745519713
177 , 1080 , 12721 , 1.8997909199522103
178 , 1080 , 18330 , 2.7374551971326166
179 , 1080 , 12233 , 1.8269115890083631
180 , 1080 , 21616 , 3.2281959378733576
181 , 1080 , 16194 , 2.418458781362007
182 , 930 , 22134 , 3.3055555555555554
183 , 937 , 8277 , 1.236111111111111
184 , 1070 , 36247 , 5.413231780167265
185 , 1080 , 26476 , 3.95400238948626
186 , 1080 , 17205 , 2.5694444444444446
187 , 1080 , 5700 , 0.8512544802867383
188 , 1044 , 28736 , 4.291517323775388
189 , 954 , 4988 , 0.7449223416965352
190 , 1047 , 11747 , 1.7543309438470729
191 , 936 , 4241 , 0.6333632019115889
192 , 936 , 6733 , 1.0055256869773
193 , 996 , 17380 , 2.5955794504181604
194 , 1080 , 10036 , 1.498805256869773
195 , 956 , 12241 , 1.8281063321385902
196 , 1080 , 8795 , 1.3134707287933094
197 , 1080 , 18284 , 2.7305854241338112
198 , 1076 , 17000 , 2.5388291517323776
199 , 936 , 10634 , 1.5881123058542415
200 , 1080 , 9844 , 1.4701314217443249
201 , 936 , 24844 , 3.7102747909199523
202 , 962 , 6992 , 1.0442054958183993
203 , 1080 , 10498 , 1.5678016726403823
