I,H,S,P
   Colour: [0 0 0], count: 634, proportion: 0.15%
   Colour: [1 1 1], count: 431, proportion: 0.10%
   Colour: [2 2 2], count: 208, proportion: 0.05%
   Colour: [3 3 3], count: 244, proportion: 0.06%
   Colour: [4 4 4], count: 162, proportion: 0.04%
   Colour: [5 5 5], count: 132, proportion: 0.03%
   Colour: [6 6 6], count: 136, proportion: 0.03%
   Colour: [7 7 7], count: 169, proportion: 0.04%
   Colour: [8 8 8], count: 152, proportion: 0.04%
   Colour: [9 9 9], count: 19, proportion: 0.00%
   Colour: [10 10 10], count: 121, proportion: 0.03%
   Colour: [11 11 11], count: 183, proportion: 0.04%
   Colour: [12 12 12], count: 140, proportion: 0.03%
   Colour: [13 13 13], count: 124, proportion: 0.03%
   Colour: [14 14 14], count: 185, proportion: 0.04%
   Colour: [15 15 15], count: 320, proportion: 0.08%
   Colour: [16 16 16], count: 25, proportion: 0.01%
   Colour: [17 17 17], count: 732, proportion: 0.18%
   Colour: [18 18 18], count: 569, proportion: 0.14%
   Colour: [19 19 19], count: 659, proportion: 0.16%
   Colour: [20 20 20], count: 711, proportion: 0.17%
   Colour: [21 21 21], count: 673, proportion: 0.16%
   Colour: [22 22 22], count: 773, proportion: 0.19%
   Colour: [23 23 23], count: 95, proportion: 0.02%
   Colour: [24 24 24], count: 752, proportion: 0.18%
   Colour: [25 25 25], count: 911, proportion: 0.22%
   Colour: [26 26 26], count: 1064, proportion: 0.26%
   Colour: [27 27 27], count: 1945, proportion: 0.47%
   Colour: [28 28 28], count: 3012, proportion: 0.73%
   Colour: [29 29 29], count: 2332, proportion: 0.56%
   Colour: [30 30 30], count: 1122, proportion: 0.27%
   Colour: [31 31 31], count: 3740, proportion: 0.90%
   Colour: [32 32 32], count: 3299, proportion: 0.80%
   Colour: [33 33 33], count: 3188, proportion: 0.77%
   Colour: [34 34 34], count: 3490, proportion: 0.84%
   Colour: [35 35 35], count: 2380, proportion: 0.57%
   Colour: [36 36 36], count: 1659, proportion: 0.40%
   Colour: [37 37 37], count: 453, proportion: 0.11%
   Colour: [38 38 38], count: 2104, proportion: 0.51%
   Colour: [39 39 39], count: 1959, proportion: 0.47%
   Colour: [40 40 40], count: 2149, proportion: 0.52%
   Colour: [41 41 41], count: 1880, proportion: 0.45%
   Colour: [42 42 42], count: 1472, proportion: 0.35%
   Colour: [43 43 43], count: 1018, proportion: 0.25%
   Colour: [44 44 44], count: 265, proportion: 0.06%
   Colour: [45 45 45], count: 1302, proportion: 0.31%
   Colour: [46 46 46], count: 1276, proportion: 0.31%
   Colour: [47 47 47], count: 1445, proportion: 0.35%
   Colour: [48 48 48], count: 1442, proportion: 0.35%
   Colour: [49 49 49], count: 1309, proportion: 0.32%
   Colour: [50 50 50], count: 877, proportion: 0.21%
   Colour: [232 232 232], count: 359278, proportion: 86.63%
   Colour: [0 0 0], count: 691, proportion: 0.17%
   Colour: [1 1 1], count: 541, proportion: 0.13%
   Colour: [2 2 2], count: 420, proportion: 0.10%
   Colour: [3 3 3], count: 554, proportion: 0.13%
   Colour: [4 4 4], count: 885, proportion: 0.21%
   Colour: [5 5 5], count: 466, proportion: 0.11%
   Colour: [6 6 6], count: 482, proportion: 0.12%
   Colour: [7 7 7], count: 354, proportion: 0.09%
