I,H,S,P
1 , 44 , 5601 , 0.4801954732510286
2 , 55 , 31859 , 2.7313957475994517
3 , 131 , 53574 , 4.593106995884773
4 , 49 , 9272 , 0.7949245541838137
5 , 44 , 44119 , 3.782493141289439
6 , 52 , 16218 , 1.3904320987654324
7 , 95 , 32601 , 2.7950102880658445
8 , 21 , 3247 , 0.27837791495198905
9 , 77 , 21765 , 1.8659979423868314
10 , 81 , 30938 , 2.652434842249657
11 , 148 , 22786 , 1.9535322359396432
12 , 105 , 27590 , 2.3653978052126194
13 , 180 , 43699 , 3.746484910836763
14 , 86 , 37585 , 3.2223079561042525
15 , 118 , 29685 , 2.5450102880658436
16 , 166 , 42967 , 3.6837277091906726
17 , 153 , 28988 , 2.4852537722908097
18 , 150 , 22082 , 1.893175582990398
19 , 100 , 11216 , 0.9615912208504801
20 , 106 , 14322 , 1.2278806584362143
21 , 242 , 55212 , 4.733539094650207
22 , 146 , 6284 , 0.5387517146776405
23 , 218 , 33389 , 2.8625685871056246
24 , 274 , 57058 , 4.891803840877916
25 , 143 , 53135 , 4.555469821673524
26 , 52 , 3746 , 0.32115912208504804
27 , 185 , 68926 , 5.909293552812072
28 , 228 , 18975 , 1.6268004115226338
29 , 378 , 14265 , 1.2229938271604943
30 , 107 , 42576 , 3.650205761316872
31 , 216 , 55118 , 4.72548010973937
32 , 346 , 41178 , 3.530349794238683
33 , 129 , 22126 , 1.8969478737997252
34 , 244 , 48328 , 4.143347050754458
35 , 88 , 11013 , 0.9441872427983536
36 , 181 , 28866 , 2.4747942386831276
37 , 204 , 24560 , 2.1056241426611795
38 , 190 , 21983 , 1.88468792866941
39 , 106 , 23317 , 1.999056927297668
40 , 122 , 10649 , 0.912980109739369
41 , 281 , 18456 , 1.582304526748971
42 , 98 , 9099 , 0.7800925925925926
43 , 207 , 27508 , 2.358367626886145
44 , 169 , 20296 , 1.7400548696844993
45 , 144 , 11364 , 0.9742798353909464
46 , 123 , 9992 , 0.8566529492455417
47 , 252 , 36569 , 3.1352023319615907
48 , 248 , 48522 , 4.159979423868313
49 , 305 , 38625 , 3.3114711934156382
50 , 122 , 8734 , 0.7487997256515777
51 , 230 , 20601 , 1.7662037037037037
52 , 174 , 14023 , 1.20224622770919
53 , 254 , 10372 , 0.8892318244170098
54 , 202 , 15862 , 1.3599108367626882
55 , 119 , 8460 , 0.7253086419753089
56 , 167 , 9424 , 0.8079561042524005
57 , 135 , 9368 , 0.8031550068587104
58 , 241 , 14440 , 1.2379972565157753
59 , 212 , 9751 , 0.8359910836762687
60 , 161 , 10670 , 0.9147805212620027
61 , 222 , 11117 , 0.9531035665294925
62 , 173 , 11318 , 0.9703360768175583
63 , 239 , 14858 , 1.2738340192043895
64 , 254 , 14561 , 1.2483710562414272
65 , 158 , 10075 , 0.8637688614540465
66 , 156 , 16450 , 1.4103223593964334
67 , 208 , 17372 , 1.489368998628258
68 , 172 , 12337 , 1.0576989026063102
69 , 166 , 17061 , 1.4627057613168726
70 , 183 , 13286 , 1.1390603566529491
71 , 193 , 9954 , 0.8533950617283951
72 , 245 , 12620 , 1.0819615912208504
73 , 321 , 15694 , 1.3455075445816191
74 , 313 , 16471 , 1.4121227709190671
