I,H,S,P
1 , 250 , 19990 , 3.044286062378167
2 , 90 , 9087 , 1.3838633040935673
3 , 348 , 11917 , 1.8148452729044835
4 , 160 , 11158 , 1.6992568226120854
5 , 112 , 12924 , 1.9682017543859651
6 , 112 , 9462 , 1.4409722222222225
7 , 263 , 17634 , 2.685489766081871
8 , 283 , 18663 , 2.842196637426901
9 , 226 , 13124 , 1.9986598440545804
10 , 229 , 15307 , 2.3311098927875245
11 , 329 , 16146 , 2.4588815789473686
12 , 270 , 12988 , 1.9779483430799218
13 , 191 , 15622 , 2.3790813840155955
14 , 265 , 12598 , 1.9185550682261208
15 , 282 , 15308 , 2.331262183235868
16 , 403 , 11658 , 1.7754020467836256
17 , 349 , 16224 , 2.4707602339181287
18 , 356 , 19056 , 2.9020467836257313
19 , 281 , 12824 , 1.9529727095516567
20 , 216 , 14215 , 2.1648087231968804
21 , 305 , 12673 , 1.9299768518518519
22 , 249 , 11745 , 1.7886513157894735
23 , 166 , 13764 , 2.0961257309941517
24 , 309 , 19466 , 2.964485867446393
25 , 312 , 19275 , 2.9353983918128654
26 , 405 , 17486 , 2.662950779727096
27 , 269 , 17085 , 2.6018823099415203
28 , 281 , 14718 , 2.2414108187134496
29 , 351 , 23181 , 3.5302448830409348
30 , 332 , 17816 , 2.7132066276803126
31 , 287 , 22441 , 3.4175499512670573
32 , 299 , 15779 , 2.4029909844054584
33 , 360 , 19364 , 2.9489522417153986
34 , 553 , 23548 , 3.586135477582846
35 , 250 , 16040 , 2.442738791423002
36 , 120 , 14170 , 2.157955653021443
37 , 357 , 24937 , 3.7976669103313827
38 , 377 , 19038 , 2.8993055555555562
39 , 378 , 16196 , 2.466496101364522
40 , 486 , 22218 , 3.383589181286549
41 , 289 , 13731 , 2.0911001461988294
42 , 416 , 16622 , 2.5313718323586745
43 , 607 , 23827 , 3.6286245126705663
44 , 553 , 18904 , 2.8788986354775834
45 , 337 , 18150 , 2.7640716374269014
46 , 462 , 33816 , 5.1498538011695905
47 , 466 , 35210 , 5.3621466861598455
48 , 434 , 25548 , 3.8907163742690063
49 , 261 , 21306 , 3.2447002923976607
50 , 378 , 22051 , 3.358156676413254
51 , 373 , 37860 , 5.765716374269007
52 , 403 , 24785 , 3.7745187621832357
53 , 316 , 26409 , 4.021838450292397
54 , 433 , 32405 , 4.934971978557505
55 , 455 , 41441 , 6.311068469785575
56 , 395 , 27994 , 4.263218810916181
57 , 378 , 30399 , 4.629477339181286
58 , 442 , 28721 , 4.373933966861597
59 , 373 , 19362 , 2.948647660818714
60 , 449 , 25758 , 3.9226973684210518
61 , 613 , 19050 , 2.901133040935673
62 , 680 , 24451 , 3.7236537524366478
63 , 394 , 21569 , 3.2847526803118896
64 , 548 , 23579 , 3.590856481481482
65 , 496 , 43572 , 6.635599415204679
66 , 531 , 41028 , 6.248172514619882
67 , 461 , 41590 , 6.3337597465886954
68 , 310 , 28202 , 4.29489522417154
69 , 420 , 43792 , 6.669103313840156
70 , 426 , 20845 , 3.1744943957115006
71 , 311 , 14491 , 2.2068408869395704
72 , 510 , 26203 , 3.990466617933723
73 , 426 , 26457 , 4.029148391812865
74 , 528 , 24723 , 3.7650767543859653
75 , 524 , 23320 , 3.551413255360623
76 , 409 , 18129 , 2.7608735380116944
77 , 605 , 26338 , 4.011025828460039
78 , 578 , 28707 , 4.371801900584796
79 , 418 , 25456 , 3.876705653021442
80 , 385 , 22774 , 3.4682626705653017
81 , 477 , 25390 , 3.8666544834307985
82 , 411 , 28383 , 4.32245979532164
83 , 532 , 30940 , 4.711866471734892
84 , 479 , 28032 , 4.269005847953216
85 , 461 , 30085 , 4.581658138401556
86 , 623 , 43260 , 6.58808479532164
87 , 492 , 35457 , 5.399762426900585
88 , 517 , 19674 , 2.9961622807017543
89 , 514 , 29295 , 4.461348684210525
90 , 609 , 28275 , 4.306012426900582
91 , 422 , 25627 , 3.9027473196881095
92 , 586 , 34619 , 5.272143031189085
93 , 510 , 23504 , 3.5794346978557505
94 , 562 , 33118 , 5.043555068226123
95 , 440 , 25557 , 3.8920869883040927
96 , 491 , 26008 , 3.9607699805068224
