I,H,S,P
1 , 153 , 5334 , 1.1630036630036629
2 , 40 , 3684 , 0.8032443746729461
3 , 40 , 3593 , 0.7834031048316765
4 , 42 , 3848 , 0.8390022675736961
5 , 14 , 3769 , 0.8217774289202859
6 , 106 , 5035 , 1.0978109192394905
7 , 77 , 4260 , 0.9288330716902146
8 , 85 , 4273 , 0.9316675388103959
9 , 36 , 3502 , 0.7635618349904063
10 , 116 , 4602 , 1.0034013605442178
11 , 114 , 4792 , 1.0448281876853303
12 , 145 , 5064 , 1.1041339612768184
13 , 139 , 4737 , 1.03283621140764
14 , 72 , 4811 , 1.0489708703994418
15 , 111 , 6288 , 1.3710099424385138
16 , 103 , 5114 , 1.1150357578929009
17 , 136 , 4537 , 0.9892290249433107
18 , 122 , 6704 , 1.4617128902843188
19 , 132 , 5113 , 1.1148177219605793
20 , 121 , 5146 , 1.1220129077271932
21 , 174 , 8198 , 1.7874585731728587
22 , 176 , 7310 , 1.5938426652712367
23 , 140 , 5973 , 1.302328623757195
24 , 165 , 6472 , 1.4111285539856973
25 , 136 , 6151 , 1.341139019710448
26 , 124 , 6241 , 1.3607622536193964
27 , 250 , 9813 , 2.139586603872318
28 , 233 , 8246 , 1.7979242979242978
29 , 168 , 7815 , 1.7039508110936685
30 , 245 , 10197 , 2.22331240188383
31 , 287 , 9594 , 2.091836734693878
32 , 145 , 7832 , 1.7076574219431366
33 , 179 , 8116 , 1.769579626722484
34 , 181 , 9092 , 1.9823826966684108
35 , 173 , 8512 , 1.855921855921856
36 , 174 , 7708 , 1.680620966335252
37 , 194 , 7598 , 1.656637013779871
38 , 232 , 8800 , 1.9187162044304902
39 , 205 , 7280 , 1.5873015873015874
40 , 142 , 7153 , 1.5596110238967382
41 , 197 , 10920 , 2.3809523809523814
42 , 162 , 9044 , 1.9719169719169722
43 , 142 , 7010 , 1.5284318855747425
44 , 161 , 7385 , 1.61019536019536
45 , 97 , 7733 , 1.686071864643293
46 , 134 , 9225 , 2.01138147566719
47 , 116 , 6210 , 1.3540031397174255
48 , 165 , 8343 , 1.8190737833594979
49 , 198 , 9634 , 2.100558171986743
50 , 155 , 7023 , 1.531266352694924
