I,H,S,P
1 , 46 , 6395 , 1.5420042438271606
2 , 28 , 7362 , 1.7751736111111112
3 , 31 , 7755 , 1.8699363425925926
4 , 14 , 5756 , 1.3879243827160492
5 , 48 , 13417 , 3.2351948302469133
6 , 40 , 2687 , 0.6479070216049382
7 , 57 , 9851 , 2.375337577160494
8 , 36 , 3579 , 0.862991898148148
9 , 30 , 3193 , 0.7699170524691361
10 , 38 , 4218 , 1.0170717592592595
11 , 76 , 6562 , 1.5822723765432098
12 , 184 , 17491 , 4.21754436728395
13 , 63 , 8677 , 2.092255015432099
14 , 104 , 13701 , 3.303674768518519
15 , 22 , 3520 , 0.8487654320987653
16 , 27 , 1561 , 0.37639853395061723
17 , 36 , 2111 , 0.5090181327160493
18 , 73 , 8554 , 2.062596450617284
19 , 56 , 8415 , 2.029079861111111
20 , 72 , 13322 , 3.2122878086419746
21 , 60 , 9562 , 2.305652006172839
22 , 69 , 8526 , 2.0558449074074074
23 , 61 , 7371 , 1.77734375
24 , 40 , 6084 , 1.4670138888888893
25 , 147 , 8219 , 1.9818190586419753
26 , 55 , 6771 , 1.6326678240740742
27 , 79 , 16979 , 4.0940875771604945
28 , 96 , 2147 , 0.517698688271605
29 , 169 , 22540 , 5.434992283950617
30 , 118 , 1916 , 0.46199845679012347
31 , 137 , 6900 , 1.6637731481481481
32 , 51 , 4407 , 1.0626446759259258
33 , 126 , 15549 , 3.74927662037037
34 , 67 , 10708 , 2.581983024691358
35 , 101 , 4832 , 1.1651234567901236
36 , 108 , 1178 , 0.2840470679012346
37 , 61 , 3966 , 0.9563078703703703
38 , 61 , 3537 , 0.8528645833333335
39 , 134 , 5674 , 1.3681520061728396
40 , 110 , 8542 , 2.0597029320987654
41 , 57 , 3776 , 0.9104938271604938
42 , 85 , 5045 , 1.2164834104938271
43 , 82 , 4087 , 0.9854841820987654
44 , 161 , 12325 , 2.9718846450617287
45 , 94 , 5022 , 1.2109374999999998
46 , 95 , 3673 , 0.8856577932098766
47 , 52 , 2779 , 0.6700906635802469
48 , 62 , 2870 , 0.6920331790123457
49 , 102 , 3722 , 0.8974729938271605
50 , 99 , 3139 , 0.7568962191358026
51 , 132 , 4081 , 0.9840374228395063
52 , 107 , 3428 , 0.8265817901234567
53 , 82 , 3115 , 0.7511091820987655
54 , 99 , 5180 , 1.2490354938271602
55 , 95 , 4854 , 1.1704282407407407
56 , 125 , 6858 , 1.6536458333333335
57 , 90 , 5131 , 1.2372202932098766
58 , 74 , 3466 , 0.8357445987654322
59 , 116 , 3978 , 0.959201388888889
60 , 137 , 4840 , 1.1670524691358024
61 , 145 , 4110 , 0.9910300925925924
62 , 149 , 6043 , 1.4571277006172842
63 , 152 , 4637 , 1.1181037808641978
64 , 182 , 6326 , 1.5253665123456792
65 , 104 , 4191 , 1.0105613425925926
66 , 168 , 7055 , 1.701147762345679
67 , 150 , 5552 , 1.3387345679012346
68 , 163 , 4858 , 1.17139274691358
69 , 116 , 3894 , 0.9389467592592594
70 , 160 , 14128 , 3.4066358024691357
71 , 188 , 12966 , 3.126446759259259
72 , 132 , 12639 , 3.04759837962963
73 , 141 , 8587 , 2.07055362654321
74 , 142 , 6874 , 1.6575038580246915
75 , 91 , 7859 , 1.8950135030864197
76 , 135 , 14107 , 3.4015721450617282
77 , 98 , 7864 , 1.896219135802469
78 , 94 , 6237 , 1.5039062500000002
79 , 150 , 11715 , 2.8247974537037033
80 , 121 , 9140 , 2.2038966049382713
81 , 177 , 11260 , 2.71508487654321
82 , 203 , 11283 , 2.7206307870370376
83 , 175 , 7565 , 1.824122299382716
84 , 128 , 5760 , 1.3888888888888893
85 , 188 , 6716 , 1.6194058641975306
86 , 133 , 5831 , 1.40600887345679
87 , 181 , 15649 , 3.773389274691357
88 , 206 , 13223 , 3.188416280864198
89 , 134 , 19308 , 4.655671296296297
90 , 151 , 17726 , 4.274209104938271
91 , 91 , 16493 , 3.976900077160493
92 , 101 , 20620 , 4.972029320987653
93 , 73 , 14774 , 3.5624035493827155
94 , 69 , 19392 , 4.6759259259259265
95 , 88 , 23008 , 5.547839506172839
