I,H,S,P
1 , 466 , 27860 , 7.225628417001232
2 , 64 , 27455 , 7.120589669374333
3 , 489 , 26867 , 6.968088969116013
4 , 458 , 27012 , 7.00569543431577
5 , 84 , 27518 , 7.136929030116294
6 , 513 , 27954 , 7.250007780647973
7 , 509 , 28034 , 7.270756175240943
8 , 191 , 28207 , 7.315624578548236
9 , 78 , 28356 , 7.35426846347764
10 , 521 , 28618 , 7.4222194557696115
11 , 532 , 28679 , 7.438040106646749
12 , 211 , 28403 , 7.366458145301007
13 , 476 , 27910 , 7.238596163621841
14 , 478 , 27834 , 7.218885188758521
15 , 392 , 27655 , 7.172460655856753
16 , 481 , 27580 , 7.153009035925847
17 , 366 , 26856 , 6.965236064859482
18 , 346 , 26763 , 6.941116056145156
19 , 273 , 26662 , 6.914921207971534
20 , 411 , 26204 , 6.796136648926789
21 , 338 , 26103 , 6.769941800753167
22 , 176 , 25969 , 6.735188239809945
23 , 379 , 25614 , 6.643117238803648
24 , 162 , 25648 , 6.651935306505658
25 , 445 , 25922 , 6.7229985579865765
26 , 364 , 26242 , 6.80599213635845
27 , 364 , 26428 , 6.854232153787101
28 , 415 , 26581 , 6.893913458446153
29 , 488 , 26936 , 6.985984459452451
30 , 497 , 26909 , 6.978981876277323
31 , 497 , 26877 , 6.970682518440137
32 , 247 , 26861 , 6.966532839521541
33 , 252 , 27150 , 7.041486414988642
34 , 252 , 27123 , 7.034483831813513
35 , 421 , 26872 , 6.969385743778075
36 , 443 , 26931 , 6.98468768479039
37 , 424 , 26938 , 6.986503169317274
38 , 341 , 26692 , 6.922701855943897
39 , 356 , 26228 , 6.802361167304679
40 , 422 , 26150 , 6.782131482576537
41 , 402 , 26003 , 6.744006307511955
42 , 342 , 25617 , 6.6438953036008845
43 , 450 , 25723 , 6.671386926436568
44 , 117 , 25858 , 6.7063998423122
45 , 155 , 25914 , 6.7209237185272785
46 , 386 , 26227 , 6.802101812372268
47 , 448 , 26341 , 6.831668274667248
48 , 199 , 26746 , 6.936707022294149
49 , 207 , 27143 , 7.039670930461757
50 , 206 , 27237 , 7.064050294108495
51 , 258 , 27398 , 7.105806438226843
52 , 472 , 27940 , 7.246376811594204
53 , 446 , 28274 , 7.333001359019846
54 , 402 , 28467 , 7.383056860975381
55 , 398 , 28523 , 7.39758073719046
56 , 415 , 28704 , 7.444523979957051
57 , 392 , 28532 , 7.399914931582169
58 , 187 , 28183 , 7.3094000601703435
59 , 189 , 28023 , 7.267903270984408
60 , 323 , 27846 , 7.221997447947465
61 , 453 , 27422 , 7.112030956604732
62 , 446 , 27291 , 7.078055460458745
63 , 397 , 26897 , 6.975869617088378
64 , 369 , 26965 , 6.993505752492401
65 , 361 , 26895 , 6.975350907223554
66 , 388 , 26979 , 6.9971367215461715
67 , 378 , 26996 , 7.001545755397176
68 , 237 , 27462 , 7.1224051539012185
69 , 237 , 28025 , 7.268421980849232
70 , 499 , 28276 , 7.333520068884671
71 , 324 , 28490 , 7.389022024420861
72 , 321 , 28499 , 7.391356218812569
73 , 289 , 28486 , 7.387984604691214
74 , 290 , 28231 , 7.321849096926125
75 , 332 , 27720 , 7.189318726463541
76 , 443 , 27067 , 7.019959955598434
77 , 451 , 26980 , 6.997396076478583
78 , 371 , 27732 , 7.192430985652486
79 , 302 , 28001 , 7.262197462471342
80 , 275 , 28242 , 7.324702001182659
81 , 332 , 28442 , 7.376572987665078
82 , 361 , 28359 , 7.355046528274876
83 , 200 , 27981 , 7.257010363823099
84 , 298 , 27395 , 7.1050283734296045
85 , 223 , 26970 , 6.9948025271544605
86 , 253 , 26961 , 6.992468332762753
87 , 402 , 27164 , 7.045117384042408
88 , 434 , 27288 , 7.077277395661511
89 , 394 , 27658 , 7.1732387206539885
90 , 301 , 27968 , 7.253638749701741
91 , 275 , 28113 , 7.2912452149014975
92 , 242 , 28322 , 7.345450395775627
93 , 378 , 28518 , 7.396283962528398
94 , 422 , 28714 , 7.447117529281171
95 , 421 , 28567 , 7.4089923542165925
96 , 453 , 27994 , 7.260381977944458
97 , 453 , 27942 , 7.246895521459025
98 , 283 , 27521 , 7.13770709491353
99 , 274 , 27194 , 7.052898032014775
100 , 250 , 27156 , 7.0430425445831135
101 , 237 , 27070 , 7.0207380203956715
102 , 423 , 26470 , 6.86512506094841
103 , 412 , 26197 , 6.794321164399904
104 , 397 , 26166 , 6.786281161495129
105 , 383 , 26081 , 6.764235992240099
106 , 115 , 25843 , 6.7025095183260195
107 , 427 , 25717 , 6.669830796842096
108 , 320 , 25632 , 6.647785627587065
109 , 450 , 25939 , 6.727407591837579
110 , 413 , 26115 , 6.773054059942111
111 , 346 , 26489 , 6.8700528046642395
112 , 488 , 26959 , 6.991949622897928
113 , 488 , 26943 , 6.987799943979335
114 , 476 , 26928 , 6.983909619993154
115 , 468 , 26885 , 6.972757357899431
116 , 262 , 27021 , 7.0080296287074795
117 , 262 , 27259 , 7.069756102621559
118 , 264 , 27131 , 7.036558671272811
119 , 288 , 26850 , 6.963679935265009
120 , 478 , 26934 , 6.985465749587625
121 , 462 , 26886 , 6.973016712831845
122 , 403 , 26703 , 6.92555476020043
123 , 402 , 26185 , 6.79120890521096
124 , 244 , 25579 , 6.634039816169223
125 , 426 , 25686 , 6.661790793937318
126 , 262 , 25845 , 6.703028228190845
127 , 381 , 26162 , 6.785243741765482
128 , 385 , 26221 , 6.800545682777795
129 , 441 , 26398 , 6.8464515058147395
130 , 422 , 26521 , 6.878352162501428
131 , 217 , 26803 , 6.95149025344164
132 , 218 , 26872 , 6.969385743778074
133 , 208 , 27040 , 7.012957372423307
134 , 261 , 27415 , 7.110215472077847
135 , 271 , 27501 , 7.13251999626529
136 , 442 , 28057 , 7.27672133868642
137 , 409 , 28424 , 7.371904598881662
138 , 416 , 28598 , 7.417032357121367
139 , 242 , 28355 , 7.354009108545225
140 , 242 , 28138 , 7.2977290882118
141 , 268 , 27857 , 7.2248503522039975
142 , 271 , 27875 , 7.229518740987416
143 , 358 , 27466 , 7.123442573630865
144 , 354 , 26957 , 6.991430913033104
145 , 322 , 26968 , 6.994283817289639
146 , 293 , 27484 , 7.128110962414285
147 , 245 , 28112 , 7.290985859969085
148 , 243 , 28219 , 7.3187368377371795
149 , 255 , 28337 , 7.34934071976181
150 , 264 , 28446 , 7.377610407394728
151 , 353 , 28417 , 7.370089114354776
152 , 257 , 28294 , 7.338188457668087
153 , 275 , 28286 , 7.336113618208792
154 , 366 , 27867 , 7.22744390152812
155 , 412 , 27561 , 7.148081292210014
156 , 446 , 27139 , 7.038633510732108
157 , 423 , 27455 , 7.120589669374333
158 , 187 , 27948 , 7.248451651053501
159 , 275 , 28261 , 7.329629744898488
160 , 253 , 28347 , 7.35193426908593
161 , 370 , 28491 , 7.389281379353275
162 , 275 , 28459 , 7.380982021516085
163 , 360 , 28414 , 7.36931104955754
164 , 48 , 27713 , 7.187503241936656
165 , 393 , 27403 , 7.1071032128889025
166 , 253 , 26992 , 7.0005083356675275
167 , 298 , 26898 , 6.976128972020789
168 , 274 , 26927 , 6.983650265060741
169 , 434 , 27324 , 7.086614173228346
170 , 275 , 27771 , 7.202545828016557
171 , 268 , 27848 , 7.222516157812289
172 , 242 , 27996 , 7.260900687809279
173 , 242 , 28212 , 7.3169213532102955
174 , 242 , 28366 , 7.35686201280176
175 , 421 , 28526 , 7.398358801987695
176 , 413 , 28709 , 7.4458207546191115
177 , 412 , 28680 , 7.43829946157916
178 , 440 , 28127 , 7.294876183955267
179 , 443 , 28057 , 7.27672133868642
180 , 321 , 27697 , 7.18335356301806
181 , 263 , 27152 , 7.042005124853464
182 , 425 , 26553 , 6.8866515203386145
183 , 452 , 26267 , 6.81247600966875
184 , 410 , 26224 , 6.801323747575032
185 , 233 , 26071 , 6.76164244291598
186 , 297 , 25881 , 6.71236500575768
187 , 370 , 25583 , 6.635077235898872
188 , 308 , 25581 , 6.6345585260340485
189 , 237 , 25579 , 6.634039816169224
190 , 302 , 25585 , 6.635595945763696
191 , 412 , 26022 , 6.748934051227786
192 , 385 , 26158 , 6.784206322035832
193 , 347 , 26218 , 6.79976761798056
194 , 451 , 26796 , 6.949674768914755
195 , 467 , 26912 , 6.97975994107456
196 , 489 , 26934 , 6.985465749587625
197 , 488 , 26863 , 6.967051549386365
198 , 218 , 26987 , 6.999211561005468
199 , 253 , 27218 , 7.059122550392665
200 , 218 , 27096 , 7.027481248638386
201 , 277 , 26833 , 6.959270901414004
202 , 478 , 26936 , 6.98598445945245
203 , 478 , 26923 , 6.982612845331092
204 , 437 , 26737 , 6.9343728279024415
205 , 436 , 26642 , 6.90973410932329
206 , 248 , 26233 , 6.803657941966741
207 , 406 , 26192 , 6.793024389737845
208 , 413 , 26153 , 6.782909547373774
209 , 248 , 25625 , 6.645970143060181
210 , 421 , 25769 , 6.683317253327525
211 , 344 , 26135 , 6.778241158590352
212 , 436 , 26383 , 6.842561181828554
213 , 263 , 26700 , 6.924776695403195
214 , 218 , 27100 , 7.028518668368034
215 , 271 , 27495 , 7.1309638666708155
216 , 305 , 27716 , 7.1882813067338915
217 , 354 , 27800 , 7.2100671210565075
218 , 423 , 28265 , 7.330667164628137
219 , 394 , 28522 , 7.397321382258048
220 , 413 , 28734 , 7.452304627929415
221 , 414 , 28717 , 7.447895594078409
222 , 242 , 28441 , 7.376313632732668
223 , 242 , 28245 , 7.325480065979896
224 , 242 , 28090 , 7.285280051456018
225 , 269 , 27816 , 7.214216799975103
226 , 358 , 27401 , 7.106584503024079
227 , 394 , 27133 , 7.037077381137634
228 , 343 , 26975 , 6.996099301816521
229 , 276 , 27094 , 7.026962538773562
230 , 189 , 27519 , 7.137188385048706
231 , 396 , 28189 , 7.310956189764818
232 , 266 , 28435 , 7.374757503138194
233 , 275 , 28270 , 7.331963939290198
234 , 242 , 27993 , 7.2601226230120455
235 , 434 , 27283 , 7.07598062099945
236 , 446 , 27086 , 7.024887699314265
237 , 424 , 27813 , 7.213438735177867
238 , 275 , 28233 , 7.322367806790949
239 , 275 , 28260 , 7.329370389966075
