I,H,S,P
1 , 33 , 34558 , 2.742698412698412
2 , 238 , 41797 , 3.317222222222222
3 , 155 , 48915 , 3.8821428571428567
4 , 201 , 53037 , 4.209285714285714
5 , 95 , 35970 , 2.854761904761905
6 , 56 , 36618 , 2.906190476190476
7 , 162 , 39601 , 3.1429365079365077
8 , 278 , 40073 , 3.180396825396825
9 , 248 , 40030 , 3.1769841269841272
10 , 305 , 46433 , 3.68515873015873
11 , 244 , 41538 , 3.2966666666666664
12 , 254 , 34064 , 2.703492063492063
13 , 335 , 31069 , 2.46579365079365
14 , 256 , 38669 , 3.068968253968253
15 , 276 , 39789 , 3.157857142857143
16 , 258 , 36242 , 2.8763492063492064
17 , 278 , 42852 , 3.400952380952381
18 , 267 , 40462 , 3.211269841269841
19 , 218 , 40032 , 3.177142857142857
20 , 311 , 40525 , 3.216269841269841
21 , 242 , 43490 , 3.4515873015873018
22 , 294 , 41903 , 3.3256349206349207
23 , 297 , 41187 , 3.268809523809524
24 , 328 , 39035 , 3.0980158730158727
25 , 348 , 48973 , 3.886746031746031
26 , 353 , 37528 , 2.9784126984126993
27 , 438 , 35772 , 2.839047619047619
28 , 363 , 33777 , 2.680714285714285
29 , 289 , 34498 , 2.7379365079365074
30 , 296 , 37259 , 2.9570634920634924
31 , 322 , 43965 , 3.489285714285715
32 , 338 , 47670 , 3.783333333333333
33 , 452 , 44282 , 3.514444444444444
34 , 492 , 38614 , 3.0646031746031746
35 , 347 , 39789 , 3.157857142857143
36 , 347 , 37834 , 3.002698412698413
37 , 325 , 35740 , 2.836507936507937
38 , 397 , 31376 , 2.490158730158731
39 , 318 , 41178 , 3.268095238095238
40 , 324 , 43245 , 3.4321428571428565
41 , 236 , 30550 , 2.424603174603174
42 , 267 , 41241 , 3.2730952380952383
43 , 354 , 57004 , 4.524126984126984
44 , 506 , 51331 , 4.073888888888889
45 , 588 , 50020 , 3.96984126984127
46 , 357 , 35918 , 2.8506349206349215
47 , 407 , 48022 , 3.8112698412698416
48 , 562 , 55423 , 4.398650793650794
49 , 429 , 33823 , 2.6843650793650795
50 , 379 , 27319 , 2.168174603174603
51 , 354 , 34246 , 2.7179365079365083
52 , 326 , 36279 , 2.879285714285715
53 , 426 , 36739 , 2.915793650793651
54 , 445 , 32056 , 2.544126984126984
55 , 222 , 31718 , 2.517301587301587
56 , 316 , 42249 , 3.3530952380952384
57 , 506 , 42183 , 3.3478571428571424
58 , 436 , 39255 , 3.11547619047619
59 , 392 , 38409 , 3.048333333333334
60 , 431 , 39855 , 3.1630952380952384
61 , 436 , 40790 , 3.2373015873015873
62 , 404 , 39775 , 3.1567460317460316
63 , 470 , 31389 , 2.491190476190476
64 , 388 , 48339 , 3.8364285714285713
65 , 438 , 53881 , 4.276269841269841
66 , 600 , 31655 , 2.512301587301587
67 , 393 , 32350 , 2.5674603174603177
68 , 462 , 34166 , 2.7115873015873015
69 , 308 , 34448 , 2.733968253968254
70 , 431 , 56224 , 4.462222222222221
71 , 479 , 66629 , 5.288015873015873
72 , 572 , 39625 , 3.14484126984127
73 , 400 , 28820 , 2.2873015873015876
74 , 440 , 43133 , 3.423253968253969
