I,S,P
200,13662,1.7532917532917536
201,8490,1.0895510895510896
202,4732,0.6072739406072739
203,5093,0.6536023202689868
204,9963,1.2785862785862785
205,17312,2.2217088883755562
206,5931,0.761145761145761
207,5419,0.6954390287723621
208,4070,0.5223171889838555
209,2033,0.26090192756859426
210,3077,0.3948820615487282
211,4778,0.6131772798439465
212,5299,0.6800390133723471
213,6149,0.7891224557891227
214,6928,0.8890942224275559
215,6992,0.8973075639742305
216,6844,0.8783142116475451
217,5945,0.7629424296090962
218,5438,0.6978773645440312
219,6462,0.8292908292908293
220,5726,0.7348374015040682
221,8211,1.0537460537460537
222,10630,1.3641846975180307
223,8119,1.0419393752727082
224,10351,1.3283796617129948
225,14784,1.8972818972818968
226,14325,1.8383768383768384
227,7432,0.9537742871076204
228,7439,0.9546726213392879
229,8950,1.1485844819178153
230,9343,1.1990195323528658
231,4783,0.6138189471522806
232,6187,0.7939991273324606
233,9930,1.2743512743512746
234,17950,2.3035856369189704
235,16238,2.083878750545418
236,7690,0.9868843202176536
237,7124,0.9142475809142476
238,14553,1.8676368676368675
239,9076,1.1647544980878315
300,15433,1.9805703139036468
301,22796,2.92548959215626
302,12049,1.5462898796232127
303,17531,2.2498139164805835
304,22406,2.8754395421062084
305,9485,1.2172428839095506
306,6824,0.8757475424142089
307,3523,0.4521187854521187
308,3532,0.4532737866071198
309,8547,1.096866096866097
310,13008,1.6693616693616695
311,10965,1.4071764071764068
312,9383,1.2041528708195373
313,3940,0.5056338389671725
314,5428,0.6965940299273634
315,8650,1.1100844434177766
316,17649,2.2649572649572653
317,11662,1.4966248299581633
318,6645,0.8527758527758528
319,6284,0.8064474731141401
320,8382,1.0756910756910758
321,14856,1.9065219065219063
322,16330,2.0956854290187623
323,5283,0.6779856779856781
324,8552,1.0975077641744309
325,16130,2.0700187366854035
326,18243,2.3411873411873407
327,11561,1.4836631503298168
328,5253,0.6741356741356741
329,10372,1.3310746644079985
330,16479,2.114807114807115
331,7349,0.9431226097892764
332,7794,1.0002310002310004
333,15727,2.018300351633685
334,27834,3.5720335720335714
335,15905,2.0411437078103742
336,9116,1.1698878365545031
337,8303,1.0655527322193992
338,10723,1.3761197094530424
339,17147,2.200533867200534
400,6886,0.8837042170375503
401,8095,1.0388593721927055
402,6434,0.8256974923641592
403,8005,1.0273093606426935
404,9788,1.2561279227945896
405,9196,1.1801545134878462
406,12641,1.6222632889299555
407,10320,1.3244013244013246
408,7857,1.008316008316008
409,7876,1.0107543440876776
410,10524,1.3505813505813506
411,9288,1.191961191961192
412,6019,0.7724391057724391
413,6154,0.7897641230974564
414,6534,0.8385308385308384
415,5593,0.7177690511023844
416,6794,0.8718975385642054
417,7843,1.0065193398526728
418,8492,1.0898077564744229
419,9719,1.2472729139395802
420,8484,1.0887810887810891
421,9066,1.1634711634711636
422,11739,1.5065065065065062
423,12684,1.6277816277816275
424,14684,1.8844485511152185
425,12501,1.604296604296604
426,10194,1.308231308231308
427,7590,0.9740509740509742
428,6516,0.8362208362208363
429,6487,0.8324991658324992
430,6824,0.8757475424142088
431,5994,0.7692307692307693
432,7322,0.9396576063242728
433,8755,1.1235594568927905
434,7094,0.9103975770642436
435,11439,1.4680064680064675
436,15529,1.9928903262236597
437,12397,1.590949924283258
438,15767,2.0234336901003567
439,14816,1.9013885680552347
500,10697,1.3727830394497058
501,8142,1.0448910448910451
502,8191,1.0511793845127178
503,7826,1.0043376710043377
504,8227,1.0557993891327224
505,8346,1.0710710710710711
506,9507,1.2200662200662205
507,9968,1.2792279458946123
508,8976,1.151921151921152
509,10412,1.3362080028746692
510,11432,1.4671081337748002
511,11547,1.4818664818664815
512,8854,1.1362644695978033
513,10720,1.3757347090680423
514,11802,1.5145915145915143
515,13084,1.679115012448346
516,12168,1.561561561561562
517,11944,1.5328148661482
518,12586,1.615204948538282
519,10645,1.3661096994430328
520,11244,1.4429814429814432
521,11755,1.5085598418931754
522,10159,1.3037396370729704
523,11720,1.5040681707348371
524,10477,1.3445496778830115
525,11849,1.520623187289854
526,13189,1.6925900259233595
527,11112,1.4260414260414265
528,12540,1.6093016093016097
529,9133,1.1720695054028385
